Surveyor (Last Name),Day of the Week,Neighborhood,Language,Business ID,Bus or Bike Lane,Person Surveyed,Chain,Business Type,Number of Customers,Business Length Open,Number of Workers,Family Owned,Primary Concern,Financial Stability,Neighborhood Recovered,Crime,Housing Affordability,Local Politicians,Technology (list all with commas between),Adopt Technology Post-Pandemic,Struggle without Technology,Own or Rent,Amount Rent,Bicycle Lanes,Dedicated Bus Lanes,Trees,Public Art,"Notes (include data here on ""Other"" responses, observational notes.)"
Tjiang,Friday,SF Chinatown,English,SFLT3,,Employee,No,Retail,3,0-3 years,10-May,Yes,"Gentrification, affordability",Don't Know/NA,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,"Social media, online orders, website",,No,Rent,Don't know,Don't Support,Support,Support,Support,"Opened after the pandemic. Top concern is gentrification, but also acknowledged that they are a part of that perceived gentrification and want to try to combat it. "
Tjiang,Friday,SF Chinatown,English,SFLT4,,Employee,Yes,Services,3,More than 10 years,Less than 5,No,"Safety, cleanliness",Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,None,,No,Rent,"$12,000 ",Don't Support,Don't Support,Don't Know,Don't Know,
Torres,Friday,Mission,English,B11,,Manager,Yes,Retail,0,4-5 years,Less than 5,Yes,"Crime, homelessness",Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Online orders, delivery services, website",No,Yes,Rent,don't know,Support,Support,Support,Support,
Torres,Friday,Mission,English,B14,Bus Lane,Owner,No,Retail,3,6-10 years,Less than 5,Yes,"Safety, crime",Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,"Social media, website ",No,No,Rent,"$5,000 ",Support,Don't Support,Support,Support,"Was very concerned about the rise in bikes, electric bikes and scooters on sidewalks causing pedestrain crashes. Was also concerned about the lack of parking in the neighborhood. "
Tran,Friday,Downtown Oakland,English,DTO-02,Neither,Manager,No,Retail,0,4-5 years,10-May,No,Crime,Somewhat Agree,Strongly Disagree,Strongly Agree,Don't Know/NA,Somewhat Agree,"Social media, online orders, website",No,No,Rent,Don't know,Don't Support,Support,Support,Support,
Tran,Friday,Downtown Oakland,English,DTO-28,Bus Lane,Other,No,Retail,0,0-3 years,Less than 5,No,Foot traffic,Don't Know/NA,Strongly Disagree,Somewhat Disagree,Don't Know/NA,Strongly Disagree,Social media,Yes,Yes,Rent,Free (as a community space from another business in building),Support,Don't Support,Support,Support,
Tran,Friday,Downtown Oakland,English,DTO-63,Bike Lane,Owner,No,Restaurant/Bar,40,0-3 years,More than 10,No,"Public safety and property safety, foot traffic (which is impacted by public safety), economic sustainability (impacted by layoffs and economic downturn, general lack of economic optimism)",Don't Know/NA,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,"Social media, website",Yes,Yes,Rent,$3-$7K,Support,Support,Support,Support,"Shared that although local politicians ""listen,"" it doesn't necessarily translate to ""action."" And if streets are constrained, they noted that they would support bike lanes over bus lanes"
Tran,Friday,Downtown Oakland,English,DTO-67,Bike Lane,Owner,No,Restaurant/Bar,7,0-3 years,10-May,Yes,"Lack of foot traffic, safety (which has been somewhat encouraging with the city ambassadors), high rent",Don't Know/NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,"Social media, online orders, delivery services, website",Yes,Yes,Rent,$8K,Don't Know,Support,Support,Support,"Shared that it was hard to discern what types of actions were a result of local politicians ""listening"" vs statewide policies"
Valadez,Friday,Mission,Spanish,SFM-10,Bus Lane,Owner,No,Restaurant/Bar,6,4-5 years,10-May,Yes,Slow business,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,"Social media, online orders, delivery services, website",No,Yes,Rent,"5,000",Don't Support,Don't Know,Support,Support,
Valadez,Friday,Mission,Spanish,SFM-9,Neither,Owner,No,Retail,8,More than 10 years,Less than 5,Yes,Lack of tourism,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Social media only,No,No,Rent,"3,500",Don't Support,Don't Support,Support,Support,
Venkatnarayan,Friday,Downtown Oakland,English,DTO-01,Neither,Employee,No,Activity Based,1,More than 10 years,More than 10,No,Need for safe inclusive community spaces,Strongly Disagree,Somewhat Disagree,Strongly Agree,Don't Know/NA,Somewhat Agree,"Social media, website",No,Yes,Rent,Don't know,Support,Support,Don't Know,Support,
Venkatnarayan,Friday,Downtown Oakland,English,DTO-64,Neither,Employee,No,Retail,3,More than 10 years,10-May,Don't Know,Theft,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, delivery services, website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Venkatnarayan,Friday,Downtown Oakland,English,DTO-65,Neither,Manager,No,Services,1,More than 10 years,Less than 5,Yes,"Lack of traffic and footfall, homelessness",Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,"Social media, website",No,Yes,Own,N/A,Don't Support,Support,Support,Support,
Venkatnarayan,Friday,Downtown Oakland,English,DTO-66,Neither,Employee,No,Restaurant/Bar,5,More than 10 years,More than 10,Yes,No specific concerns,Don't Know/NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"Online orders, delivery services, website",No,No,Rent,Don't know,Don't Know,Don't Know,Support,Support,
Wilson,Friday,Downtown Oakland,English,DTO-47,Bus Lane,Employee,No,Restaurant/Bar,3,0-3 years,Less than 5,Yes,Crime,Don't Know/NA,Don't Know/NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Social media, Online orders, Delivery services ",,Yes,Rent,Don't know,Don't Know,Don't Know,Don't Know,Support,
Wilson,Friday,Downtown Oakland,English,DTO-51,,Owner,No,Restaurant/Bar,3,0-3 years,10-May,Yes,"Crime, Parking",Don't Know/NA,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Delivery services,Yes,,Rent,$6500/month,Don't Know,Don't Know,Don't Know,Don't Know,
Wilson,Friday,Downtown Oakland,English,DTO-55,Bus Lane,Employee,Unsure,Restaurant/Bar,2,More than 10 years,10-May,Yes,Not enough clients,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Don't Know/NA,Don't Know/NA,"Social media, Online orders, Website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Wilson ,Friday,Downtown Oakland,English,DTO-57,Bus Lane,Manager,Unsure,Retail,6,4-5 years,More than 10,No,"Crime, welcoming environment",Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, Online orders, Website",No,Yes,Rent,Don't want,Don't Support,Don't Support,Don't Support,Don't Support,"City making infrastructure is not the priority, crime is the main issue "
Wu Rose,Friday,Mission,English,B20,Bike Lane,Employee,No,Restaurant/Bar,3,More than 10 years,More than 10,Yes,"Bike lane causing a lack of parking, business slowing down",Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"Social media, website",,No,Own,N/A,Don't Support,Support,Support,Support,
Wu Rose,Friday,Mission,English,B21,Bike Lane,Employee,No,Retail,4,6-10 years,10-May,No,"Being able to make money and stay open, bike lane, safety",Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,"Social media, online orders, website",No,Yes,Rent,"$3,000-$4,000",Support,Support,Support,Support,
Wu Rose,Friday,Mission,English,B22,Bike Lane,Owner,No,Retail,5,More than 10 years,Less than 5,Yes,Nearby parking,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,"Social media, Online Orders, Delivery, Websites",No,,Rent,"$7,000 ",Support,Support,Support,Support,
Wu Rose,Friday,Mission,English,B23,Bike Lane,Employee,No,Restaurant/Bar,15,More than 10 years,More than 10,Yes,"Slow business - people not eating out, less foot traffic",Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"Social media, Online orders, Delivery, Website, Payment processing apps",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Yau,Friday,SF Chinatown,Mandarin,SFC1,,Employee,No,Retail,5,0-3 years,Less than 5,No,"Cleanliness, safety, homelessness",Don't Know/NA,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,None,No,Yes,Rent,"$7,500 ",Don't Support,Support,Support,Support,"Noted streets were too narrow in Chinatown to support bike lanes, and would be too unsafe. Not enough funds and expertise to support online services; would really appreciate government help for expanding access."
Yau,Friday,SF Chinatown,Mandarin,SFC3,,Owner,No,Services,0,More than 10 years,Less than 5,No,"Crime, safety, WFH",Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,None,No,Yes,Rent,"$3,000 ",Don't Support,Don't Support,Support,Support,Noted that online services were too expensive to run and maintain. Said narrow streets in Chinatown makes bike and bus lanes not feasible. Wanted to see the city expand parking access. Central Subway did not increase business as they envisioned.
Yau,Friday,SF Chinatown,Mandarin,SFC4,,Owner,No,Healthcare/Education,0,More than 10 years,Less than 5,Yes,"Rent affordability, ack of medical insurance coverage.",Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,"Online orders, Website, Other",Yes,Yes,Rent,"$3,000 ",Support,Support,Support,Support,"Noted that customers were increasingly unable to afford services. Said politicians were generally receptive to issues raised by the community, but unable to implement much effective policies. Active on managing Google Reviews and map site."
Yau,Friday,SF Chinatown,English,SFC5,,Employee,Yes,Restaurant/Bar,12,4-5 years,More than 10,No,"Garbage disposal, managing high demand",Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Don't Know/NA,"Social media, Website, Other",No,Yes,Rent,Don't know,Don't Know,Support,Don't Support,Support,"Not reliant on tourism, steady customer base, staff rotates between Chinatown and Balboa St location regularly, said rents were high but could not remember exact figure"
Zhu,Friday,SF Chinatown,English,SFPZ1,,Employee,No,Retail,5,6-10 years,Less than 5,No,no enough customers,Strongly Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,Somewhat Disagree,None,,,Rent,"5,000$",Don't Support,Support,Don't Support,Support,
Zhu,Friday,SF Chinatown,Mandarin,SFPZ2,,Employee,No,Retail,1,0-3 years,Less than 5,Yes,"stolen goods, no customers",Don't Know/NA,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Social media,No,No,Rent,"4,000",Don't Support,Support,Support,Support,
Zhu,Friday,SF Chinatown,Mandarin,SFPZ3,,Employee,No,Restaurant/Bar,0,0-3 years,Less than 5,Yes,decreased customers,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,Social media,No,No,Rent,unsure,Don't Support,Don't Support,Support,Support,
Zhu,Friday,SF Chinatown,English,SFPZ4,,Owner,No,Retail,0,More than 10 years,Less than 5,No,"not good after covid, no enough traffic",Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Don't Know/NA,None,,,Rent,can't say,Don't Support,Don't Support,Don't Support,Don't Support,
Cain,Wednesday,Berkeley,English,B0405,Neither,Employee,Yes,Activity Based,30,0-3 years,10-May,No,unknown,Don't Know/NA,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Yes,,,,,,,,,
Arellano,Saturday,Fruitvale,Spanish,FV1,Bus Lane,Employee,Yes,Grocery/Market,11,6-10 years,Less than 5,No,Crime / delinquency. Robberies every 2 weeks (at most 2x per week),Don't Know/NA,Don't Know/NA,Strongly Agree,Don't Know/NA,Strongly Agree,All of the above,,No,Rent,Don't know,Don't Support,Don't Support,Don't Support,Don't Support,
Arellano,Saturday,Fruitvale,Spanish,FV2,Bus Lane,Owner,No,Restaurant/Bar,9,4-5 years,Less than 5,Yes,Street vendors without permits / delinquency,Don't Know/NA,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None,No,No,Rent,"$5,000 ",Don't Support,Don't Support,Don't Support,Support,
Arellano,Saturday,Fruitvale,Spanish,FV16,Bus Lane,Employee,Yes,Retail,0,More than 10 years,Less than 5,No,Robberies,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None,No,No,Rent,"$2,500 ",Don't Support,Don't Support,Support,Don't Support,
Arellano,Saturday,Fruitvale,Spanish,FV21,Bus Lane,Employee,No,Retail,7,6-10 years,Less than 5,Yes,Economy isn't good so the business isn't good,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,I don't know,No,No,Rent,Don't know,Support,Don't Support,Support,Support,
Hernandez,Saturday,Fruitvale,Spanish,FV17,Bus Lane,Owner,No,Restaurant/Bar,3,More than 10 years,10-May,Yes,"Robberies, city's crisis, ""one of the most dangerous cities in the world, street vendors negatively affect the businesses ",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,"Instagram, Facebook ",,,Rent,"$3,800 ",Don't Support,Don't Support,Support,Support,
Hernandez,Saturday,Fruitvale,Spanish,FV20,Bus Lane,Manager,No,Grocery/Market,2,More than 10 years,Less than 5,Yes,"Crime, lack of security, robberies, lack of maintenance and cleaning of the streets ",Somewhat Agree,Somewhat Disagree,Strongly Agree,Don't Know/NA,Strongly Disagree,None,,,Rent,"$9,000 ",Support,Don't Know,Don't Support,Don't Support,
Sharma,Saturday,Fruitvale,English,FV18,Bus Lane,Employee,No,Restaurant/Bar,0,6-10 years,Less than 5,Yes,Crime,Somewhat Agree,Strongly Agree,Strongly Agree,Don't Know/NA,Don't Know/NA,"Instagram, Facebook ",No,,Rent,Don't know ,Support,Don't Know,Support,Support,
Sharma,Saturday,Fruitvale,English,FV22,Bus Lane,Manager,No,Grocery/Market,4,4-5 years,Less than 5,Yes, Vandalism and crime,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None,,,Rent,"$4,000 ",Don't Know,Support,Support,Don't Support,
Valadez,Sunday,Fruitvale,English,FV23,Bike Lane,Employee,No,Restaurant/Bar,12,6-10 years,10-May,Yes,Increased costs of goods.,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Social Media, website",No,Yes,Rent,Don't know,Don't Know,Support,Support,Support,
Valadez,Sunday,Fruitvale,English,FV24,Bike Lane,Employee,No,Restaurant/Bar,3,More than 10 years,10-May,Yes,"Crimes and robberies. We've had to go ""cashless"" because of it, but sometimes will still accept cash if that's all that people have.",Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,"Social media, website",No,No,Own,,Support,Don't Know,Support,Support,
